lat,lon,name
25016366,80383333,buidling4
25016397,80247846,Ken
25016459,80383149,buidling4
25016481,80383403,buidling4
25016546,80375101,Baghain
25016574,80383219,buidling4
25016574,80383219,buidling4
25016857,80683717,"SubCentre, Nakaila"
25016891,80844848,Paisuni
25016993,80375658,Baghain
25017171,80946471,B
25017265,80055909,Deori
25017501,80376360,Baghain
25017871,80376593,Baghain
25018127,80376754,Baghain
25018226,80948467,Markundi
25018308,80948318,B
25018944,80121013,Sarai
25019249,80377691,Baghain
25019293,80109192,Makundpur
25019411,80950066,B
25019504,80842493,Paisuni
25019524,80379893,building 2
25019569,80379939,building 2
25019571,80379836,building 2
25019571,80379836,building 2
25019616,80379882,building 2
25019672,80379908,building 6
25019679,80379888,building 6
25019718,80379927,building 6
25019731,80379911,building 6
25019731,80379911,building 6
25019881,80380160,building2
25019881,80380085,building2
25019896,80378453,Baghain
25019934,80380072,building2
25019934,80380072,building2
25019937,80380161,building2
25020158,80840282,Paisuni
25020273,80951412,B
25020478,80839033,Paisuni
25020510,80380495,Building1
25020546,80380431,Building1
25020546,80380508,Building1
25020546,80380431,Building1
25020577,80380452,Building1
25020615,80951977,B
25020635,80230075,Hathoha
25020828,80838088,Paisuni
25020829,80379305,Baghain
25021081,80256317,Ken
25021174,80952875,B
25021410,80704253,Jirwar
25021531,80379749,Baghain
25021575,80953556,B
25021639,80836436,Paisuni
25021689,80953741,B
25022062,80379749,Baghain
25022107,80217225,Pukhraha
25022291,80954725,B
25022384,80835728,Paisuni
25022469,80379500,Baghain
25022818,80379175,Baghain
25023044,80418585,PHC Khora
25023070,80378749,Baghain
25023107,80378424,Baghain
25023118,80377986,Baghain
25023162,80834913,Paisuni
25023241,80377282,Baghain
25023386,80956472,B
25023397,80376767,Baghain
25023611,80376501,Baghain
25023687,80270297,Ken
25023696,80269546,Ken
25023735,80271273,Ken
25023820,80376383,Baghain
25023939,80271735,Ken
25023949,80268538,Ken
25024051,80376258,Baghain
25024212,80834441,Paisuni
25024265,80376389,Baghain
25024329,80376596,Baghain
25024342,80957984,B
25024357,80272175,Ken
25024383,80376903,Baghain
25024538,80379684,building 6
25024544,80377081,Baghain
25024561,80379626,building 6
25024571,80379696,building 6
25024598,80379637,building 6
25024598,80379637,building 6
25024715,80377098,Baghain
25025123,80834033,Paisuni
25025164,80261746,Ken
25025219,80376986,Baghain
25025242,80266445,Ken
25025370,80959631,B
25025664,80376921,Baghain
25025670,80265523,Ken
25025689,80262540,Ken
25025806,80272990,Ken
25025923,80264235,Ken
25025932,80263516,Ken
25026013,80376986,Baghain
25026303,80961088,B
25026329,80377193,Baghain
25026353,80000077,Urmal
25026608,80377400,Baghain
25026881,80705026,Hirapur
25027133,80377773,Baghain
25027233,80273859,Ken
25027353,80962763,B
25027386,80139893,Pandepurwa
25027401,80377986,Baghain
25027582,80000808,Urmal
25027729,80710255,Madulhai
25027976,80419142,Khora
25028076,80378915,Baghain
25028355,80964347,B
25028363,80274900,Ken
25028386,80165148,Chhati Bamhori
25028433,80832783,Paisuni
25028596,80379696,Baghain
25028923,80380116,Baghain
25028972,80000195,Urmal
25029163,80182617,Silgaon
25029272,80380441,Baghain
25029383,80966085,B
25030035,80967340,B
25030207,80967702,B
25030264,80254380,Hinota
25030301,80381021,Baghain
25030377,80425681,Bhadaiyan
25030497,80670561,Sahpur
25030564,80024416,Bigpur
25030611,80968596,B
25030919,80831737,Paisuni
25030929,80278065,Ken
25031062,80381441,Baghain
25031065,80271084,Badhari
25031067,80969738,B
25031328,80831608,Paisuni
25031458,80970876,B
25031568,80971205,B
25031697,80831458,Paisuni
25031728,80690610,Mohani
25031988,80972517,B
25032005,80835715,Paisuni
25032125,80831394,Paisuni
25032172,80387440,Baghain
25032183,80838378,Paisuni
25032220,80386984,Baghain
25032247,80387824,Baghain
25032416,80834484,Paisuni
25032424,80388138,Baghain
25032429,80386375,Baghain
25032446,80973964,B
25032455,80839419,Paisuni
25032483,80382169,Baghain
25032494,80831565,Paisuni
25032565,80081211,Katiya
25032660,80388398,Baghain
25032689,80831866,Paisuni
25032689,80833883,Paisuni
25032711,80390940,suhawa
25032789,80833216,Paisuni
25032805,80832252,Paisuni
25032864,80832660,Paisuni
25032906,80386014,Baghain
25033036,80840383,Paisuni
25033051,80792789,Padmaniya Jagir
25033324,80385831,Baghain
25033336,80976750,B
25033415,80389315,Baghain
25033652,80230948,Gumanpur
25033683,80382902,Baghain
25033801,80385813,Baghain
25033944,80210568,Kharaba
25034059,80841457,Paisuni
25034241,80389824,Baghain
25034288,80476683,Keshawpur
25034311,80385795,Baghain
25034438,80841833,Paisuni
25034654,80383370,Baghain
25034659,80385712,Baghain
25034770,80792322,Padmaniya
25034808,80842101,Paisuni
25035109,80389865,Baghain
25035117,80982294,B
25035147,80384079,Baghain
25035211,80385156,Baghain
25035259,80343301,"Primary Health Centre, Kartal"
25035367,80384529,Baghain
25035470,80983623,B
25035489,80842445,Paisuni
25035581,80389706,Baghain
25035673,80283869,Ken
25035679,80984523,B
25035797,80985062,B
25036003,80986199,B
25036137,80987200,B
25036222,80988075,B
25036311,80989109,B
25036535,80991886,B
25036782,80388937,Baghain
25036966,80285543,Ken
25037035,80998201,B
25037381,80467426,Kathagaon
25037382,80388380,Baghain
25037827,80387866,Baghain
25037928,80286455,Ken
25038706,80386842,Baghain
25038874,80196292,Luhar Purwa
25038929,80286937,Ken
25038986,80386537,Baghain
25039070,80631033,Baraundha
25039431,80487797,Manipur
25039455,80843817,Paisuni
25039467,80386014,Baghain
25039769,80692747,Kairola
25039907,80385718,Baghain
25040339,80287388,Ken
25040930,80385505,Baghain
25041130,80844258,Paisuni
25041547,80385363,Baghain
25041842,80385115,Baghain
25041882,80844322,Paisuni
25042056,80384914,Baghain
25042431,80385020,Baghain
25043016,80845082,Paisuni
25043051,80287678,Ken
25043257,80385736,Baghain
25043469,80559172,Pathara kachhar
25043669,80386481,Baghain
25043670,80383962,Tulapur
25043898,80386897,Baghain
25043922,80081350,Salaiya
25044125,80387070,Baghain
25044223,80845966,Paisuni
25044352,80387195,Baghain
25044634,80387411,Baghain
25044712,80847059,Paisuni
25044716,80392947,Chandra Wal
25044861,80387710,Baghain
25044942,80849515,Paisuni
25045038,80388021,Baghain
25045268,80852240,Paisuni
25045386,80388686,Baghain
25045425,80389304,Baghain
25045684,80389771,Baghain
25045923,80390221,Baghain
25046001,80854023,Paisuni
25046146,80390666,Baghain
25046326,80287388,Ken
25046620,80391414,Baghain
25046733,80855385,Paisuni
25046808,80391535,Baghain
25047299,80134686,Lawraha
25047305,80391461,Baghain
25047622,80391362,Baghain
25047853,80391189,Baghain
