type,id,name,lat,lon
node,4963731874,Kanpur Bridge Left Bank,26476719,80378964
node,4963731878,Govindpuri,26453677,80312879
node,4963731963,Kidwai Nagar,26440988,80341987
node,5043199108,Patra,26481416,79958695
node,5067461999,Ajgain,26617363,80621349
node,5067462017,Kusumbhi,26639278,80654005
node,5331658992,China Town,26511444,80246336
node,5444247522,Ramadevi Chouraha,26411501,80386750
node,5444247621,lal bangla bus stand,26416190,80392299
node,5492020855,Barajod (Bara),26385291,80019069
node,5492020856,Barajod (Bara),26385388,80019006
node,5499219897,Usaka ( Chamari),26036698,79577960
node,5499219898,Usaka ( Chamari),26036590,79578008
node,5626798731,govt hosprital bhunna,26881054,79911255
node,5626803945,SRI HORILAL PARWATI INTER COLLAGE BHUNNA,26880883,79910820
node,5729637829,Guest house,26885802,80214194
node,5737097854,IIT Kanpur,26509198,80248291
node,5999565991,Dhamma Kalyana Vipassana Meditation Centre,26378435,80487965
node,6130614073,Jio BP Diesel,26904418,80013628
node,6130614220,Bangarmau Airfield,26917624,80264098
node,6130614695,Bangarmau Airfield,26924461,80213408
node,6231239542,Ugu,26797450,80321559
node,6231239543,Kursath,26870516,80410823
node,6237041118,Chaunrah,26165420,79782416
node,6237041119,Malasa,26287042,79904766
node,6237041120,Tilaunchi,26332609,80006994
node,6237041147,Paman,26359986,80080579
node,6237041171,Binaur,26395194,80162125
node,6237041172,Rasulpur Gogumau,26379733,80125642
node,6237041184,Sirhi Itara,26367310,80215618
node,6237042687,Dohru,26090655,80175405
node,6257215129,Kathara Road,26309905,80228576
node,6274783804,Jainpur,26359458,79992409
node,6280395140,ASC TIRAHA,26420224,80399267
node,6691858444,POP Fiber KDA,26430889,80391117
node,6888435258,Regency Hospital Limited's Blood Bank,26484278,80264018
node,6897648054,GSVM Medical College Blood Bank,26481396,80307631
node,6897648059,LPS Institute of Cardiology's Blood Bank,26481158,80303567
node,6897648064,"Life Line Blood Bank, Sarvoday Nagar",26479715,80299831
node,6897648069,CLM Hospital and Blood Bank,26463812,80296611
node,6897648074,Mariampur Hospital and Blood Bank,26465309,80305608
node,6897648079,Sai Blood Bank,26433262,80322297
node,6897648084,Sneh Pathology X-ray and Blood Bank,26439352,80336680
node,6897674789,Krishna Super Speciality Hospital's Blood Bank,26450273,80344380
node,6897674794,Air Force Hospital's Blood Bank,26446694,80375668
node,6897678004,Combined District Hospital (M) Blood Bank,26370589,79958316
node,6897678127,Saraswati Blood Bank,26623380,80706167
node,6902141060,Rama Medical College Hospital and Research Centre's Blood Bank,26567307,80220869
node,6902141065,SPM Hospital Research and Trauma Centre's Blood Bank,26501012,80257571
node,6902141072,GSVM Medical College Blood Bank,26478793,80309296
node,6902881796,Tulsi Hospital Limited's Blood Bank,26479550,80344069
node,6905518348,Mayanjali Charitable Blood Bank,26481707,80344683
node,6905518369,Madhulok Hospital's Blood Bank,26424117,80320260
node,7017961878,Shifa Eye Research Centre(Ana Eye Hospital),26468316,80335746
node,7017979038,Shekhar Rastogi Eye Hospital,26494503,80279083
node,7018011399,Merry Gold Hospital,26409045,80327432
node,7018011416,R.K.Sindhi Sangh Maternity Hospital,26452789,80302311
node,7018056666,"Rama Medical College Hospital, Kanpur Nagar",26567193,80220860
node,7018066794,Shivani Hospital Pvt Ltd,26471851,80302061
node,7018342509,Tulsi Hospitals Ltd,26479496,80344069
node,7018342528,"Krishnalok Hospital, Unnao",26553279,80503825
node,7018342555,Jeevani Hospital,26479589,80310640
node,7018342560,Gopal Krishna Surgical and Maternity Clinic,26439615,80309123
node,7018342582,S.R Hospital and Diagnostic Point,26420139,80329320
node,7018342603,Maa Durga Hospital and Research Center,26498445,80237463
node,7018342626,Hamid Hospital,26472122,80340635
node,7018418041,Regency Hospital,26479357,80301563
node,7018521757,Ratandeep Hospital,26480882,80299422
node,7018539753,Royal Cancer Institute and Research Centre,26479268,80316029
node,7018564243,North Star Hospital and Joint Replacement center,26463591,80359061
node,7018620950,Rama Dental College Hospital and Research Centre,26499037,80273214
node,7018636413,Rama Shiv Hospital,26430973,80307937
node,7018666879,Akshi Eye Care Centre,26498343,80311788
node,7018689629,Madhav Eye Hospital,26495239,80269344
node,7018918767,Bhargava Hospital,26474325,80350167
node,7018919705,St. Catherine's Hospital,26458150,80360392
node,7018940008,New Shiv Raj Hospital,26422144,80319667
node,7018943852,Nasir Hospital,26431153,80405631
node,7018991779,Paliwal Eye and Retina Centre,26484117,80319890
node,7019130175,"Jain Hospital, Kanpur Nagar",26413760,80383268
node,7019366033,Asha Hospital and Maternity Center,26150694,80164232
node,7019366043,New G.T. Nursing Home,26481792,80302235
node,7020160125,Dwivedi Hospital,26472789,80292701
node,7020160150,"Krishnalok Hospital, Kanpur Nagar",26404430,80315024
node,7020365852,Swati Hospital and Research Center,26420413,80319592
node,7020446796,Mahsa Hospital,26426279,80400032
node,7020521557,Navyug Nursing Home,26472867,80325494
node,7020524081,Nawabganj Seva Hospital,26619633,80669899
node,7020694670,Huma Hospital,26438757,80343816
node,7020772618,D S Memorial Nursing Home,26480721,80300092
node,7020787572,Fortune Hospital,26487941,80289306
node,7020886876,Ktc's Vedanta (A Hospital And Research Centre) Kanpur Ortho And Trauma Centre Pvt Ltd,26478851,80322929
node,7020925911,Suraj Medical and Diagnostics Pvt Ltd,26476527,80295145
node,7020949628,Dey's Hospital,26419361,80389594
node,7021039196,Prem Maternity Home,26469431,80320283
node,7021097666,Shyam Children and Maternity Centre,26500529,80257076
node,7021134663,Sulaxmi Hospital,26500016,80305323
node,7021167195,Jagdish Prasad Nigam Memorial Hospital Pvt Ltd,26537582,80477637
node,7021193981,Jai Baba Hospital,26553337,80481792
node,7021267994,Rajrani Hospital,26399450,80314671
node,7022298807,L.P.S . Institute Of Cardilogy,26481216,80303460
node,7022322511,Abha Nursing Home Pvt Ltd,26485451,80325028
node,7024789289,Awasthi's Nursing Home,26415205,80390298
node,7025018109,Kanpur Trauma and Ortho. Centre,26502096,80250733
node,7025046367,Madhulok Hospital,26424059,80320220
node,7025068991,Lala Amba Prasad Smarak Chikitsalaya,26475686,80356015
node,7025148897,Madhuraj Multi Speciality Hospital,26479551,80317530
node,7025209288,C.P.Memorial Nursing Home,26541725,80479413
node,7025215026,"CHC, Sarsaul",26293831,80482923
node,7025269444,Jolly Nursing Home and Research Centre (P) Ltd,26469304,80314980
node,7025340457,C L Memorail Hospital and Maternity Home Pvt Ltd,26462990,80305702
node,7025481522,R K Devi Eye Research Institute,26481961,80317237
node,7025501353,Bimal Nursing Home,26479946,80304062
node,7025610756,New Leelamani Hospital,26479613,80343773
node,7025765332,Shri Baba Hospital and Trauma Centre,26460295,80259409
node,7025968842,"Santosh Hospital, Kanpur Nagar",26439612,80324417
node,7026504632,Utkarsh Hospital and Maternity Home,26413784,80315020
node,7027159784,Shanti Surgical Clinic and Nursing Home,26428948,80306536
node,7027572496,Bhargava Medical And Trauma Centre,26438136,80327277
node,7027605931,"S D Hospital, Kanpur Nagar",26441433,80326642
node,7027605975,The Orient Hospital,26425271,80309246
node,7027606285,The Gastro Liver Hospital,26482982,80313289
node,7027726616,Shubh Netra Kendra,26494568,80279217
node,7027743598,Mahaveer Hospital And Trauma Centre,26462505,80243741
node,7027743613,"CGHS Dispensary, Pandunagar",26471456,80294036
