lat,lon,name
26759573,80969295,Usar Barauli
26777415,80902655,Lucknow Amausi Airport
26770460,80914076,Aurangabad
26827149,80940036,Sadar Mod
26853682,81040798,Malhaur
26807015,80909871,Azad Nagar Tiraha
26809641,80904297,Natkhera Road Chauraha
26812398,80901191,Alambagh Chauraha
26837039,80921325,Lucknow Main Hotel ANR
26868988,80961456,Badshahnagar
26845611,80996068,Gwari
26854646,80972559,Samta Mulak Fountain
26859546,80979897,Vishwas Khand Pani Tanki
26853375,81034510,बड़ा भरवांरा
26867053,81029811,विराम खंड
26875143,81035558,Chinhat
26877804,81002613,Sector 8 Chauraha
26879778,80971942,Ghosi Purwa Chauraha
26877767,80958128,Wireless Chauraha
26871195,80958475,Umrao Cineplex
26852876,80998850,Gomti Nagar
26882318,80990034,Indira Nagar
26820225,80952618,Lucknow Cantonment
26763436,80963568,Vrindavan
26894244,80964068,Vikas Nagar
26888047,80954960,Mehandi Tola
26905150,80947991,Aliganj
26909632,80939510,Mohibullapur
26852038,80916495,Rakabganj Chauraha
26871628,80914426,Tilewali Masjid
26841497,80868212,Alamnagar
26845240,80879193,Rajaji Puram
26983737,80920702,Bakshi Ka Talab
26959684,80667807,Dilawarnagar
26869005,80787742,Kakori
26883972,80800197,Kakori
26858283,81422440,Ahmadpur
26997760,80604058,Rahimabad
26986801,80921678,Bakshi Ka Talab
27077793,80892994,Itaunja
26932683,80939639,Jankipuram
26929728,80942987,sector 1 vistar
26930846,80943881,Entrance gate no 3 of Sector 1
26930944,80941490,Entrance gate no 3 of sector 1
26934051,81178749,Barabanki Junction
26881559,81088894,Jugaur
26931321,81253366,Rasauli
26898033,81116775,Safedabad
26767444,81109758,गोसाईगंज
26825595,80882211,Surya Nagar Railway Crossing
26618478,81141070,Nagram
26010888,80307126,Amauli
25935195,81061807,Cheolha
26001386,80928656,Hussainganj
25772270,81104733,Khaga
26859311,81194108,सतरिक
26742327,80861246,Sarojni Nagar
26930914,80714851,Malihabad
26470433,80288257,Temple
26472638,80286978,Dolphin Junior High School
26472721,80286866,Life Care Chemist
26472468,80286311,Queens Memorial School
26472689,80288067,Swaraj India Public School
26463495,80298623,Essel Palace
25463880,81863747,SP Memorial Primary School
25463924,81865581,Maya Electricals
25465334,81861783,Krishna Coaching Institute
25465973,81861970,SBI ATM
25466971,81862945,PNB ATM
25463934,81865291,Lallu Sabzi
25461238,81825414,Greenland Motors
25461064,81826185,SBI ATM
25452558,81837150,Amitdeep Motors
25455185,81837017,Greenland Maruti Used Cars
25449140,81824927,BSNL Office
25448026,81824039,Coral Club
25449120,81824386,BSNL Tower
26498881,80305853,Adarsh Saraswati vidya mandir
26499117,80305933,Bank of India
26497873,80307594,United Bank of India
26497326,80309447,RBRD Inter college
26496486,80308111,St John School
25447820,81839889,Fire Station
25443737,81837542,Old Nirangan Talkies
25438747,81839142,Zero Road Bus Stand
25453939,81834674,VILAS HOTEL
25453989,81834818,Bridges Restaurant
25454238,81834923,Tuck In
25454284,81834927,Akash Motors
25455175,81834945,Bits and Bytes
25455230,81835024,Khadims
25455163,81834943,Bna Wealth Charges
25455336,81834980,Raj Medical Centre
25455254,81836093,Unacademy IAS
25455556,81838631,Hotel Regency
25455399,81839647,Patrika House
25454965,81839551,Airtel
25455055,81841404,Rama Sales Services
25455111,81841404,Sanjay Tower
25455127,81841359,Prayag Dental Clinic
25455334,81841813,EXPERT COACHING
25454713,81841989,LIC Guesthouse
25454699,81842221,Nokia Care
25454775,81844463,New Bhargava Book Seller
26914316,81361688,Safdarganj
26818672,80907891,Hotel Metro
25496960,81868414,Sri Narayan Ashram Hospital
26081606,81503421,Parshadepur
26611506,80628926,Ajgain
26476749,80294708,"Gorgeouss, Products for young girls"
25463116,81869451,Chhota Baghara
25463957,81868469,Azaad Dairy
25463874,81868603,Barber shop
25463890,81868571,Maurya Food shop
25463884,81868586,Amit mobile shop
25464048,81868754,Arvind Egg corner
25463846,81868667,Suresh Tailor
25462920,81868290,Lal Paints & Hardware
25462801,81868117,Malti Stationary
25464359,81869873,AnnieBesant Gate
25443794,81860639,SEO services
26878015,80999568,State Bank of India
25471898,80339887,BABULAL CHAURAHA
25063331,81094024,Manikpur Junction
25018226,80948467,Markundi
26865334,81024462,kathauta chauraha
26874779,81026616,Chinhat Tiraha
26892285,80221610,Bangarmau
26507028,80228844,ICICI Bank
26505033,80229228,Kolkata Kathi Roll
26505061,80229269,Wazwan Foods
26504755,80229290,Book Club
25445432,81825958,Prayagraj Junction
26453861,80351243,Kanpur Central
26510527,80234796,Academic Area Gate 2
26510543,80231955,Academic Area Gate 3
26511373,80236191,Noble Book Stall
26513093,80235257,Academic Area Gate 1
26511693,80236174,Looks Men Hair Salon
26511519,80246503,Beer Shop
26859115,80998585,Universal Bookstoore
26852552,80999482,Patrakar Puram
26845894,81001538,Viram Khand 3
26852664,80998480,Sahara Plaza
26846250,81003798,Viram Khand 5
26600809,80272228,Bithur
25776674,81414493,Garhi Manikpur
25714166,81509911,Kundaharnamganj
25528833,81856318,Phaphamau
25940594,81959453,Sidhheshwar Dham
25939725,81959011,Aashirwaad Bhawan
26802446,80895754,Avadh Hospital And Heart Centre
26798839,80896831,PVR Cinemas
26802408,80895711,Sony
26798760,80896861,Reliance Digital
26826291,80909521,Alambagh Police Station
26485503,80336689,Bhanu botique
26914528,80507847,Auras
26511789,80234290,Southern Labs Canteen
26629900,80321390,Pariyar
26837452,80920049,Bharath Petroleum Station
26837574,80920065,ICICI Bank
26837543,80920113,ICICI Bank ATM
26837147,80920935,Khaliji Temple
26837187,80921456,Hotel ANR
26845347,80879383,Andra bank
26908843,80956362,Manglam Packers & Movers
26880644,80930974,bansal super store
26844461,80945768,Telepizza
25002036,80479794,Nilkanth Shiva Temple
26491080,80323340,Tannery_1
26432844,80404437,Tannery_2
26431278,80406771,Tannery_3
26432526,80409285,Tannery_4
26432026,80408812,Tannery_5
26611431,80269801,Nana Rao Peshva Statue
26461454,80366962,Seth Anandram Jaipuria School
26510866,80229879,Hall 2 Canteen
26440750,80292136,"69 E barra 3 Janta Nagar, Kanpur,uttar pradesh, india"
26849364,80924905,HDFC Bank
26848723,80924663,Tempo Stand
26850026,80925133,Masjid
26848664,80924661,Tempo Stand
26847651,80925456,Shri Khun Khun Ji Jewellers
26848207,80924244,Aminabad Post Office
26848304,80924312,Canara Bank
26849097,80924995,Central Hotel
26848322,80927322,Tundai Kababi 
26848259,80924362,Police Chowki
26837009,80943589,zam zam store
26847158,80945936,Universal
26847025,80946140,Cafe Coffee Day
26847108,80946015,Bata
26903206,80973745,Kalyanpur
25489109,81627337,Jamia Arifia
26872717,80982716,KFC
26872709,80982901,Domino's
26872715,80983104,Big Bazar
26769632,81403253,Siddhaur
26830582,81329630,Zaidpur
26796000,81273685,Badipur
26982458,81321216,Masauli
26298978,81026765,Gurbakhshganj
26818473,80907292,Alambagh Bus Station
26814010,80902512,Alambagh
26794391,80891762,Krishna Nagar
26825310,80909857,Mawaiya
26803099,80896427,Singar Nagar
26778114,80882825,Transport Nagar
25703831,81394719,Gutni
25790708,81355672,Kalakankar
25824608,81446344,Lala Bazar
25912422,81454228,Lawana
26056553,81902325,Antu
26098322,81637565,Ateha
26142869,81408401,Dih
26211624,81511263,Nasirabad
26515200,80430805,Magarwara
26875917,80957259,Cult Fit
26853539,80945838,triVaAg
26855220,80945581,McDonald's
26862163,80907292,Akbari Gate
26861791,80906988,Tunday Kababi
26842024,80936811,The Grand Radiant
26849907,80931450,Kaiserbagh Circus
26979720,81303555,CBI IT
25390447,81863257,Mevalal ki Bagiya
25395749,81864112,Sabji mandi
25457398,81854135,Priti Hospital
25401852,81869380,Arail Tiraha
25420780,81880752,Arail Ghat
25436294,81846589,"Jeevan Jyoti Hospital, Allahabad"
25462189,81850436,Manmohan park
25438370,81857690,New Bairhana Mosque
25438182,81857905,new bairahana post office
25438913,81858330,kali mandir
25438878,81858263,indian oil
25438766,81857476,sundaram guest house
25439468,81859705,parinay guest house
25439448,81859572,akansha garden
25439448,81859540,akansha garden
25439229,81859846,mahila sewa sadan inter college
26862588,81010571,Cinepolis
26842835,80990744,Jannat
26854257,81008668,Hind Medicals
25438598,81857454,poonam sweets
25440075,81860978,suvidha kendra
25438977,81858209,Bank of Baroda
25439528,81861147,kali mai ka mandir
25438485,81857165,shanti sweets
26855420,80945618,KFC
26869999,80997159,Wave Cinemas
26831510,80922297,Lucknow Junction
25290517,81932594,Sadhukuti Chauraha
25447209,81851339,Medical Chauraha
25317194,81919373,Rampur
25437498,81846714,Rambag
25467901,81849942,DM Allahabad Office
25438995,81858549,cyber cafe
25439649,81860465,raju clothing
25439513,81859834,dubay clinic
25439668,81860650,satendra general store
25439022,81858633,nari shringaar
25439819,81860929,deepak general store
25439573,81860110,kabab roll
25442798,81860681,G C STUDY POINT
25439499,81859754,gupta medical store
25439353,81859285,hari ram sweets
26824022,80874067,para thana
25430866,81869622,kinara cafe
26859008,80994537,bati chokha restaurant
25443372,81832324,Hotel Arjun
26881848,80946383,novelty cinema aliganj
26832551,80860840,suryodaya public intercollege
25467862,81867887,Prayag Junction
26848904,80947775,State Agency for Comprehensive Health Insurance
26862344,81020012,annie besant inter college
25476902,81870389,Police station
25441966,81813554,Jogi Beer
25496303,81852959,Round About
26088161,81598476,Mangapur chauraha
26467373,80349177,jak
25443015,81866935,PRAYAG प्रयाग
26832402,80923113,Charbagh Railway Station
26832002,80915407,Durgapuri
26841596,80939905,Sachivalaya
26927516,80200721,Bangarmau - Madhauganj SH38
26928464,80195614,Bangarmau - Madhauganj SH38
26420366,80219292,Bhimsen Junction
26847251,80945824,Uttar Pradesh Tourism
26845403,80947786,Walnut World Bakery
26846570,80967199,Ambedkar Memorial
26850830,80964884,Parag
26849352,80947372,Income Tax Office 
26844425,80946305,GPO
26847837,80947267,Sarkar Petrol Pump 
26483531,80320598,Hukka Restaurant
26431985,80336487,Famous Tailor
26505131,80229457,Domino's
26887687,81057180,BBD
26891331,81064678,Tiwariganj
26891950,81059389,Atif Vihar
26935899,80897248,Indian Institute of Management
26839308,80934358,kTM bike showroom
26837810,80934295,KTM Bike Workshop
25844462,80631001,Bahua
25809946,80540686,lalauli police station
25701914,80570498,jauharpur
25629721,80405923,PAPRENDA
25680436,80572372,Joharpur
